mean_test_score,n_estimators,min_samples_split,max_depth,max_features
-176.48163396640967,450,2,40,42
-176.48163396640967,450,2,37,42
-176.48163396640967,450,2,30,42
-176.48163396640967,450,2,35,42
-176.48163396640967,450,2,33,42
-176.51306088553093,430,2,30,42
-176.51306088553093,430,2,37,42
-176.51306088553093,430,2,33,42
-176.51306088553093,430,2,35,42
-176.51306088553093,430,2,40,42
-176.51796889704644,420,2,35,42
-176.51796889704644,420,2,40,42
-176.51796889704644,420,2,30,42
-176.51796889704644,420,2,33,42
-176.51796889704644,420,2,37,42
-176.54845121419777,410,2,33,42
-176.54845121419777,410,2,35,42
-176.54845121419777,410,2,40,42
-176.54845121419777,410,2,30,42
-176.54845121419777,410,2,37,42
-176.56394491808874,400,2,40,42
-176.56394491808874,400,2,37,42
-176.56394491808874,400,2,30,42
-176.56394491808874,400,2,33,42
-176.56394491808874,400,2,35,42
-176.81856990703778,450,2,35,37
-176.81856990703778,450,2,33,37
-176.81856990703778,450,2,37,37
-176.81856990703778,450,2,30,37
-176.81856990703778,450,2,40,37
-176.86843974408947,430,2,33,37
-176.86843974408947,430,2,37,37
-176.86843974408947,430,2,35,37
-176.86843974408947,430,2,30,37
-176.86843974408947,430,2,40,37
-176.87260066707373,420,2,40,37
-176.87260066707373,420,2,37,37
-176.87260066707373,420,2,35,37
-176.87260066707373,420,2,33,37
-176.87260066707373,420,2,30,37
-176.9439358499864,410,2,40,37
-176.9439358499864,410,2,33,37
-176.9439358499864,410,2,30,37
-176.9439358499864,410,2,35,37
-176.9439358499864,410,2,37,37
-176.9556541795289,450,2,37,40
-176.9556541795289,450,2,40,40
-176.9556541795289,450,2,35,40
-176.9556541795289,450,2,33,40
-176.97400877134288,450,2,30,40
-176.98690159770143,420,2,40,40
-176.98690159770143,420,2,33,40
-176.98690159770143,420,2,37,40
-176.98690159770143,420,2,35,40
-177.00180380403054,400,2,33,37
-177.00180380403054,400,2,30,37
-177.00180380403054,400,2,35,37
-177.00180380403054,400,2,40,37
-177.00180380403054,400,2,37,37
-177.00668382044145,420,2,30,40
-177.02757042969557,430,2,37,40
-177.02757042969557,430,2,33,40
-177.02757042969557,430,2,40,40
-177.02757042969557,430,2,35,40
-177.04690757334018,430,2,30,40
-177.05387198272197,410,2,33,40
-177.05387198272197,410,2,37,40
-177.05387198272197,410,2,35,40
-177.05387198272197,410,2,40,40
-177.07407571563144,410,2,30,40
-177.12997104833417,400,2,33,40
-177.12997104833417,400,2,35,40
-177.12997104833417,400,2,40,40
-177.12997104833417,400,2,37,40
-177.1506386176464,400,2,30,40
-177.59189793380713,420,2,30,35
-177.59433825354154,420,2,40,35
-177.59433825354154,420,2,33,35
-177.59433825354154,420,2,37,35
-177.59433825354154,420,2,35,35
-177.67769330771264,450,2,30,35
-177.67887414763467,410,2,30,35
-177.67989935416307,450,2,40,35
-177.67989935416307,450,2,35,35
-177.67989935416307,450,2,37,35
-177.67989935416307,450,2,33,35
-177.68140682336136,410,2,40,35
-177.68140682336136,410,2,37,35
-177.68140682336136,410,2,33,35
-177.68140682336136,410,2,35,35
-177.69909901551767,430,2,30,35
-177.701446957126,430,2,37,35
-177.701446957126,430,2,33,35
-177.701446957126,430,2,35,35
-177.701446957126,430,2,40,35
-177.74432431539685,400,2,30,35
-177.74694416006173,400,2,40,35
-177.74694416006173,400,2,35,35
-177.74694416006173,400,2,37,35
-177.74694416006173,400,2,33,35
-180.14480568632572,400,2,40,32
-180.14480568632572,400,2,33,32
-180.14480568632572,400,2,35,32
-180.14480568632572,400,2,37,32
-180.14480568632572,400,2,30,32
-180.15767679396188,430,2,30,32
-180.15767679396188,430,2,37,32
-180.15767679396188,430,2,40,32
-180.15767679396188,430,2,35,32
-180.15767679396188,430,2,33,32
-180.16075485308207,420,2,35,32
-180.16075485308207,420,2,30,32
-180.16075485308207,420,2,33,32
-180.16075485308207,420,2,37,32
-180.16075485308207,420,2,40,32
-180.18198575580232,410,2,35,32
-180.18198575580232,410,2,37,32
-180.18198575580232,410,2,40,32
-180.18198575580232,410,2,33,32
-180.18198575580232,410,2,30,32
-180.20907240030186,450,2,35,32
-180.20907240030186,450,2,40,32
-180.20907240030186,450,2,37,32
-180.20907240030186,450,2,30,32
-180.20907240030186,450,2,33,32
